Seasonal Variation (Data Source),Simulation Run Number,T-R Separation Distance (m),Time Delay (ns),Received Power (dBm), Phase (rad),Azimuth AoD (degree),Elevation AoD (degree),Azimuth AoA (degree),Elevation AoA (degree),Path Loss (dB),RMS Delay Spread (ns),Season,Frequency,RIS Gain (dB),RIS Path Loss (dB)
FallL,1,216.4,721,-120.8,3.2,291,-2.1,14.3,-17,150.8,3.5,0,24.25,5.9796,144.8204
FallL,1,216.4,725,-127.8,5.6,299,1.4,176.9,18,157.7,1.5,0,24.25,27.2774,130.4226
FallL,1,216.4,729,-119.8,1.4,119,-4.4,212.3,5,149.8,0.4,0,24.25,2.9594,146.8406
FallL,1,216.4,735,-118.1,2.8,290,-1.2,315.4,-8,148.1,0.8,0,24.25,46.5488,101.5512
FallL,1,216.4,741,-126.1,3.1,295,-1.4,207.3,12,156.0,5.0,0,24.25,2.0728,153.9272
FallL,1,216.4,747,-123.9,5.1,276,-2.0,332.4,-6,153.9,1.6,0,24.25,28.648,125.252
FallL,1,216.4,754,-127.4,6.3,92,-6.5,180.2,8,157.2,17.4,0,24.25,1.6304,155.5696
FallL,1,216.4,761,-130.6,2.6,292,-1.2,217.3,16,160.2,7.5,0,24.25,13.7335,146.4665
FallL,1,216.4,768,-126.1,0.3,134,-5.9,184.9,4,156.1,3.0,0,24.25,32.9118,123.1882
FallL,1,216.4,776,-147.7,5.6,283,5.9,212.6,9,174.9,23.0,0,24.25,17.5588,157.3412
FallL,1,216.4,845,-131.1,5.7,85,-7.1,184.3,4,160.2,34.8,0,24.25,8.6803,151.5197
FallL,1,216.4,848,-128.9,0.8,276,1.4,182.7,6,158.9,6.5,0,24.25,3.0954,155.8046
FallL,1,216.4,851,-141.2,1.3,90,-7.5,18.9,-7,171.1,16.1,0,24.25,17.4373,153.6627
FallL,1,216.4,855,-133.8,3.4,283,0.2,2.4,-3,163.7,14.8,0,24.25,9.9172,153.7828
FallL,1,216.4,858,-144.2,3.2,120,-7.4,185.7,4,172.5,50.6,0,24.25,22.21,150.29
FallL,1,216.4,862,-144.6,3.5,139,-5.6,174.3,4,170.3,45.4,0,24.25,44.1129,126.1871
FallL,1,216.4,866,-147.1,0.1,290,0.6,12.4,-10,157.3,15.3,0,24.25,7.1591,150.1409
FallL,1,216.4,869,-147.6,4.8,126,-3.8,8.7,-4,177.0,44.1,0,24.25,24.8541,152.1459
FallL,1,216.4,873,-155.9,2.8,127,-8.0,181.1,7,165.5,16.5,0,24.25,31.822,133.678
FallL,1,216.4,877,-144.7,2.2,297,-6.0,212.8,6,166.3,48.3,0,24.25,5.4923,160.8077
FallL,1,216.4,881,-134.7,5.6,293,1.4,178.1,-4,164.4,33.5,0,24.25,22.9161,141.4839
FallL,2,417.2,1391,-136.9,1.5,50,-2.1,161.6,6,165.8,33.0,0,24.25,13.2754,152.5246
FallL,2,417.2,1394,-132.4,5.9,48,0.3,352.9,-4,161.9,14.7,0,24.25,20.652,141.248
FallL,2,417.2,1398,-129.8,2.6,55,-1.8,150.0,9,159.6,6.9,0,24.25,3.1498,156.4502
FallL,2,417.2,1402,-131.5,4.1,48,-0.4,5.9,0,161.4,3.9,0,24.25,26.8479,134.5521
FallL,2,417.2,1406,-132.8,0.3,47,-6.4,153.8,8,162.1,8.8,0,24.25,10.4713,151.6287
FallL,2,417.2,1411,-139.2,2.2,33,-1.7,3.6,9,169.1,4.5,0,24.25,31.6113,137.4887
FallL,2,417.2,1416,-138.8,1.8,67,-1.2,5.3,5,168.7,39.4,0,24.25,17.2282,151.4718
FallL,2,417.2,1421,-126.9,1.9,44,-7.1,18.1,4,156.9,1.9,0,24.25,32.7395,124.1605
FallL,2,417.2,1426,-128.3,0.7,54,-4.7,359.8,-3,158.3,4.8,0,24.25,21.322,136.978
FallL,2,417.2,1431,-139.5,5.4,37,-1.5,21.1,-5,168.6,9.5,0,24.25,35.1093,133.4907
FallL,2,417.2,1437,-141.6,0.2,62,2.0,161.4,10,171.0,27.2,0,24.25,5.9732,165.0268
FallL,2,417.2,1442,-147.7,0.8,42,-0.1,345.2,-3,172.7,35.4,0,24.25,20.0561,152.6439
FallL,2,417.2,1448,-145.4,5.0,37,3.3,340.7,-13,175.4,8.0,0,24.25,20.3597,155.0403
FallL,2,417.2,1454,-145.6,2.6,39,-2.2,0.3,-6,174.6,22.2,0,24.25,28.6894,145.9106
FallL,2,417.2,1460,-145.3,6.0,45,-4.0,352.8,-9,167.0,28.1,0,24.25,22.5719,144.4281
FallL,2,417.2,1465,-146.7,3.3,37,1.1,151.1,8,175.4,36.8,0,24.25,15.0604,160.3396
FallL,2,417.2,1471,-146.6,6.2,56,0.0,352.8,-7,166.9,24.3,0,24.25,16.6597,150.2403
FallL,2,417.2,1484,-157.7,3.6,63,-0.7,4.8,-6,181.4,59.3,0,24.25,19.5467,161.8533
FallL,2,417.2,1490,-159.3,2.0,38,-6.2,11.7,2,166.5,7.3,0,24.25,33.3136,133.1864
FallL,2,417.2,1496,-147.5,5.8,29,-2.6,26.0,2,176.5,34.5,0,24.25,37.1757,139.3243
FallL,2,417.2,1502,-159.0,5.2,43,-1.2,146.8,4,174.6,40.8,0,24.25,8.8957,165.7043
FallL,2,417.2,1509,-157.6,1.7,35,-2.0,21.5,7,171.4,51.0,0,24.25,36.3384,135.0616
FallL,2,417.2,1534,-158.8,5.2,54,-1.0,343.5,-5,176.8,69.0,0,24.25,12.5672,164.2328
FallL,2,417.2,1566,-143.1,2.4,55,-4.6,164.7,13,171.0,82.1,0,24.25,12.8106,158.1894
FallL,2,417.2,1569,-156.0,3.3,51,-4.2,158.9,5,165.0,24.8,0,24.25,11.6907,153.3093
FallL,2,417.2,1572,-146.8,0.3,30,-1.0,19.3,10,176.1,44.2,0,24.25,37.4076,138.6924
FallL,2,417.2,1576,-157.8,6.2,49,-1.6,23.4,-3,171.0,23.5,0,24.25,34.3724,136.6276
FallL,2,417.2,1579,-158.8,3.0,55,-0.2,169.5,12,175.6,81.5,0,24.25,15.8194,159.7806
FallL,2,417.2,1583,-154.6,5.8,57,-6.6,156.8,-10,183.0,78.1,0,24.25,6.5006,176.4994
FallL,2,417.2,1586,-156.5,4.3,53,1.8,146.8,7,163.5,14.8,0,24.25,2.5333,160.9667
FallL,2,417.2,1606,-157.4,2.0,40,-3.6,349.1,-5,171.4,44.9,0,24.25,24.2473,147.1527
FallL,2,417.2,1618,-158.2,2.3,30,-3.7,337.5,-8,185.9,85.3,0,24.25,23.4858,162.4142
FallL,2,417.2,1715,-160.0,1.1,45,-0.6,148.0,9,168.8,31.6,0,24.25,8.9205,159.8795
FallL,2,417.2,1719,-155.7,2.8,65,-2.1,4.5,4,169.4,45.8,0,24.25,19.5491,149.8509
FallL,2,417.2,1724,-159.7,5.7,52,0.0,164.4,4,169.1,40.6,0,24.25,15.1495,153.9505
FallL,2,417.2,1728,-145.1,3.3,58,-2.8,340.6,5,174.8,69.5,0,24.25,8.682,166.118
FallL,3,281.5,938,-115.8,0.1,225,-3.0,201.3,9,145.7,9.5,0,24.25,40.5007,105.1993
FallL,3,281.5,942,-120.2,3.7,245,-3.6,205.1,14,149.8,36.2,0,24.25,33.981,115.819
FallL,3,281.5,947,-133.3,0.6,236,-9.5,200.0,15,158.0,76.7,0,24.25,35.8987,122.1013
FallL,3,281.5,954,-130.5,4.2,230,-6.5,32.5,14,159.9,29.6,0,24.25,42.425,117.475
FallL,3,281.5,962,-132.7,3.6,246,-8.2,202.5,21,157.7,26.2,0,24.25,32.3592,125.3408
FallL,3,281.5,970,-133.8,5.8,244,-6.4,30.7,3,161.2,89.1,0,24.25,37.3913,123.8087
FallL,3,281.5,979,-133.2,1.7,220,0.6,12.4,6,162.6,37.9,0,24.25,39.7719,122.8281
FallL,3,281.5,989,-134.4,5.1,228,-3.7,26.2,8,158.7,48.2,0,24.25,41.8162,116.8838
FallL,3,281.5,999,-140.9,0.8,241,-2.7,201.9,14,152.7,46.0,0,24.25,35.0734,117.6266
FallL,3,281.5,1010,-137.3,0.7,252,-5.5,204.0,17,156.6,35.7,0,24.25,30.3577,126.2423
FallL,3,281.5,1058,-116.5,5.0,239,-9.4,206.5,6,146.4,11.7,0,24.25,38.9034,107.4966
FallL,3,281.5,1061,-122.3,1.9,233,-9.7,20.7,12,152.2,9.8,0,24.25,39.0298,113.1702
FallL,3,281.5,1066,-128.1,0.5,245,-8.2,210.2,13,152.6,61.4,0,24.25,37.9812,114.6188
FallL,3,281.5,1072,-128.0,6.1,248,-5.3,215.5,13,156.2,43.7,0,24.25,39.09,117.11
FallL,3,281.5,1078,-138.2,1.5,232,-8.2,204.8,9,151.2,55.6,0,24.25,41.3075,109.8925
FallL,3,281.5,1084,-126.7,1.1,229,-2.6,19.7,7,155.6,25.0,0,24.25,40.5846,115.0154
FallL,3,281.5,1092,-128.9,5.3,233,-5.5,7.8,7,158.7,11.8,0,24.25,32.8815,125.8185
FallL,3,281.5,1140,-138.8,1.5,234,-2.3,207.1,14,157.6,75.7,0,24.25,42.2919,115.3081
FallL,3,281.5,1143,-131.4,0.6,234,-5.0,198.7,11,155.1,87.5,0,24.25,38.7425,116.3575
FallL,3,281.5,1146,-129.9,6.2,249,-7.9,28.2,0,159.3,55.9,0,24.25,35.9709,123.3291
FallL,3,281.5,1148,-144.4,2.9,227,1.4,213.2,14,166.8,99.3,0,24.25,46.177,120.623
FallL,3,281.5,1151,-139.7,3.5,229,-6.5,214.6,15,167.3,86.2,0,24.25,46.1016,121.1984
FallL,3,281.5,1154,-142.9,2.2,247,-8.7,217.8,28,172.0,60.4,0,24.25,41.5898,130.4102
FallL,3,281.5,1157,-141.6,0.3,233,0.0,199.0,2,160.1,74.0,0,24.25,39.5383,120.5617
FallL,3,281.5,1159,-141.4,0.1,236,-5.5,21.4,7,158.1,34.2,0,24.25,39.2829,118.8171
FallL,3,281.5,1162,-139.7,5.8,241,-3.5,18.7,6,164.5,66.3,0,24.25,35.3328,129.1672
FallL,3,281.5,1165,-144.6,2.8,249,-0.6,17.6,12,172.7,69.6,0,24.25,29.8328,142.8672
FallL,3,281.5,1168,-141.4,4.4,235,-8.4,202.7,6,149.8,33.9,0,24.25,40.459,109.341
FallL,3,281.5,1170,-146.6,5.9,250,-5.1,24.3,3,162.5,56.7,0,24.25,33.4522,129.0478
FallL,3,281.5,1173,-146.9,0.1,228,-12.4,29.2,3,170.9,74.8,0,24.25,45.3868,125.5132
FallL,3,281.5,1176,-154.3,1.6,249,-6.7,26.1,9,167.9,82.1,0,24.25,35.1562,132.7438
FallL,3,281.5,1179,-143.4,3.0,246,1.1,205.2,14,153.0,30.9,0,24.25,36.3656,116.6344
